pitcher_name,pitcher_lefty,fastball_rate,sinker_rate,slider_rate,changeup_rate,knuckle_curve_rate,curveball_rate,cutter_rate,splitter_rate,other_rate
A.J. Alexy,False,0.5592105263157895,0.0,0.2236842105263158,0.0855263157894736,0.0,0.131578947368421,0.0,0.0,0.0
A.J. Minter,True,0.4977497749774977,0.0,0.0,0.1809180918091809,0.0,0.0,0.3213321332133213,0.0,0.0
A.J. Puk,True,0.4732472324723247,0.1374538745387453,0.3773062730627306,0.0009225092250922,0.0,0.0,0.0,0.0,0.011070110701107
Aaron Ashby,True,0.0330138445154419,0.3402555910543131,0.292332268370607,0.2071352502662407,0.0,0.1272630457933972,0.0,0.0,0.0
Aaron Brooks,False,0.2337662337662337,0.2532467532467532,0.2272727272727272,0.2467532467532467,0.0389610389610389,0.0,0.0,0.0,0.0
Aaron Bummer,True,0.0,0.6411378555798687,0.2713347921225383,0.0065645514223194,0.0,0.0,0.0809628008752735,0.0,0.0
Aaron Civale,False,0.0879949717159019,0.2187303582652419,0.0333123821495914,0.0,0.0,0.2746700188560653,0.3463230672532998,0.0358265241986172,0.0031426775612822
Aaron Fletcher,True,0.0,0.4913294797687861,0.2312138728323699,0.2774566473988439,0.0,0.0,0.0,0.0,0.0
Aaron Loup,True,0.0,0.4811031664964249,0.0,0.1235955056179775,0.0,0.027579162410623,0.355464759959142,0.0,0.0122574055158324
Aaron Nola,False,0.3337717855968431,0.1880960210457086,0.0,0.1473199605392962,0.2650443932916804,0.0,0.0651101611312068,0.0,0.0006576783952647
Aaron Sanchez,False,0.1954365079365079,0.4117063492063492,0.0,0.1071428571428571,0.0,0.2837301587301587,0.0,0.0,0.0019841269841269
Adam Cimber,False,0.3482824427480916,0.2958015267175573,0.3520992366412214,0.0,0.0,0.0,0.0,0.0,0.0038167938931297
Adam Kolarek,True,0.0566037735849056,0.6226415094339622,0.1635220125786163,0.1572327044025157,0.0,0.0,0.0,0.0,0.0
Adam Oller,False,0.3330757341576507,0.098145285935085,0.0896445131375579,0.125193199381762,0.0,0.1058732612055641,0.2480680061823802,0.0,0.0
Adam Ottavino,False,0.1219512195121951,0.3227016885553471,0.4268292682926829,0.0703564727954971,0.0,0.0,0.0515947467166979,0.0,0.0065666041275797
Adam Wainwright,False,0.0931419457735247,0.2771929824561403,0.0,0.0606060606060606,0.0,0.3059011164274322,0.25103668261563,0.0,0.0121212121212121
Adbert Alzolay,False,0.3636363636363636,0.1111111111111111,0.3181818181818182,0.0707070707070707,0.0,0.0,0.1363636363636363,0.0,0.0
Adonis Medina,False,0.1739130434782608,0.3019323671497584,0.2753623188405797,0.1690821256038647,0.0,0.0797101449275362,0.0,0.0,0.0
Adrian Houser,False,0.175961017866811,0.4769897130481862,0.1326475365457498,0.0947482403898213,0.0,0.1174878180833784,0.0,0.0,0.002165674066053
Adrian Martinez,False,0.0,0.5024582104228122,0.2202556538839724,0.2753195673549656,0.0,0.0,0.0,0.0,0.0019665683382497
Adrian Morejon,True,0.6856617647058824,0.0,0.1360294117647058,0.0422794117647058,0.0,0.1286764705882352,0.0,0.0,0.0073529411764705
Adrian Sampson,False,0.3321492007104796,0.3232682060390763,0.1586737714624038,0.132622853759621,0.0,0.0,0.0532859680284191,0.0,0.0
Albert Abreu,False,0.1216407355021216,0.4851485148514851,0.2927864214992928,0.1004243281471004,0.0,0.0,0.0,0.0,0.0
Alec Mills,False,0.2222222222222222,0.369281045751634,0.1274509803921568,0.1830065359477124,0.0,0.0849673202614379,0.0,0.0,0.0130718954248366
Alek Manoah,False,0.3587656832824686,0.2583926754832146,0.2706002034587996,0.1122414377755171,0.0,0.0,0.0,0.0,0.0
Alex Cobb,False,0.0012406947890818,0.4201819685690653,0.0,0.0,0.1534325889164599,0.0,0.0,0.4251447477253929,0.0
Alex Colome,False,0.1548946716232961,0.0,0.0,0.0,0.0,0.0,0.838909541511772,0.0,0.0061957868649318
Alex Faedo,False,0.5180972078593589,0.0,0.3495346432264736,0.1323681489141675,0.0,0.0,0.0,0.0,0.0
Alex Lange,False,0.0323809523809523,0.2838095238095238,0.0,0.1942857142857142,0.0,0.4857142857142857,0.0,0.0,0.0038095238095238
Alex Vesia,True,0.6282722513089005,0.0,0.3225130890052356,0.0450261780104712,0.0,0.0,0.0,0.0,0.0041884816753926
Alex Wood,True,0.0,0.454302273740526,0.3588943379402586,0.1850200624164066,0.0,0.0,0.0,0.0,0.0017833259028087
Alex Young,True,0.047191011235955,0.2157303370786517,0.0,0.3325842696629214,0.0,0.3640449438202247,0.0404494382022471,0.0,0.0
Alexis Diaz,False,0.6271808999081726,0.0,0.3415977961432507,0.0,0.0,0.0009182736455463,0.0,0.0,0.0303030303030303
Amir Garrett,True,0.3959131545338442,0.0280970625798212,0.5747126436781609,0.0012771392081736,0.0,0.0,0.0,0.0,0.0
Anderson Espinoza,False,0.7706666666666667,0.0,0.216,0.0133333333333333,0.0,0.0,0.0,0.0,0.0
Anderson Severino,True,0.5939849624060151,0.0526315789473684,0.1578947368421052,0.1052631578947368,0.0,0.0902255639097744,0.0,0.0,0.0
Andre Jackson,False,0.3653846153846153,0.0,0.0641025641025641,0.5384615384615384,0.0,0.032051282051282,0.0,0.0,0.0
Andre Pallante,False,0.5411697898921067,0.0914253265190232,0.19534355479841,0.0005678591709256,0.0,0.1669505962521294,0.0,0.0,0.0045428733674048
Andres Machado,False,0.3045226130653266,0.3386934673366834,0.1989949748743718,0.1577889447236181,0.0,0.0,0.0,0.0,0.0
Andres Munoz,False,0.3507751937984496,0.0,0.6414728682170543,0.0,0.0,0.0,0.0,0.0,0.0077519379844961
Andrew Bellatti,False,0.4002100840336134,0.0,0.5210084033613446,0.0724789915966386,0.0021008403361344,0.0,0.0,0.0,0.0042016806722689
Andrew Chafin,True,0.2787258248009101,0.3981797497155859,0.3196814562002275,0.0034129692832764,0.0,0.0,0.0,0.0,0.0
Andrew Heaney,True,0.6252032520325204,0.0,0.3235772357723577,0.0512195121951219,0.0,0.0,0.0,0.0,0.0
Andrew Kittredge,False,0.1373390557939914,0.4549356223175965,0.407725321888412,0.0,0.0,0.0,0.0,0.0,0.0
